ID;StartDate;EndDate;Duration (in seconds);Finished;UserLanguage;Consent;non,blameAc;non,blameSelf;non,praiseAc;non,praiseSelf;ignorant,praiseAc;ignorant,praiseSelf;ignorant,blame,AC;ignorant,blameSelf;Gender;Age
109;2026-03-16 14:51:30;2026-03-16 14:55:31;240;1;EN-GB;1;;;;;3;4;;;1;36
110;2026-03-16 14:50:45;2026-03-16 14:55:32;287;1;EN-GB;1;;;;;;;5;6;1;57
111;2026-03-16 14:53:23;2026-03-16 14:55:34;131;1;EN-GB;1;;;;;6;6;;;2;60
112;2026-03-16 14:51:21;2026-03-16 14:55:38;257;1;EN-GB;1;7;6;;;;;;;2;76
113;2026-03-16 14:52:31;2026-03-16 14:55:41;190;1;EN-GB;1;;;;;1;1;;;1;30
114;2026-03-16 14:53:59;2026-03-16 14:55:42;102;1;EN-GB;1;7;1;;;;;;;2;41
115;2026-03-16 14:53:10;2026-03-16 14:55:43;152;1;EN-GB;1;;;;;2;4;;;1;38
116;2026-03-16 14:53:03;2026-03-16 14:55:46;162;1;EN-GB;1;;;;;5;7;;;2;42
117;2026-03-16 14:49:42;2026-03-16 14:55:50;367;1;EN-GB;1;;;5;5;;;;;2;46
118;2026-03-16 14:51:15;2026-03-16 14:55:54;278;1;EN-GB;1;;;;;;;6;6;1;47
119;2026-03-16 14:51:57;2026-03-16 14:56:01;243;1;EN-GB;1;;;4;5;;;;;2;29
120;2026-03-16 14:53:13;2026-03-16 14:56:01;168;1;EN-GB;1;;;7;2;;;;;2;79
121;2026-03-16 14:53:10;2026-03-16 14:56:01;171;1;EN-GB;1;;;;;5;7;;;2;29
122;2026-03-16 14:51:19;2026-03-16 14:56:14;294;1;EN-GB;1;6;6;;;;;;;2;22
123;2026-03-16 14:53:43;2026-03-16 14:56:19;155;1;EN-GB;1;;;7;3;;;;;1;38
124;2026-03-16 14:52:04;2026-03-16 14:56:21;256;1;EN-GB;1;7;7;;;;;;;1;33
125;2026-03-16 14:52:17;2026-03-16 14:56:21;243;1;EN-GB;1;;;;;7;7;;;2;58
126;2026-03-16 14:54:50;2026-03-16 14:56:23;93;1;EN-GB;1;7;4;;;;;;;2;27
127;2026-03-16 14:53:14;2026-03-16 14:56:25;190;1;EN-GB;1;7;7;;;;;;;1;68
128;2026-03-16 14:53:42;2026-03-16 14:56:29;167;1;EN-GB;1;;;;;;;6;7;2;64
129;2026-03-16 14:52:44;2026-03-16 14:56:36;232;1;EN-GB;1;7;7;;;;;;;1;24
130;2026-03-16 14:51:30;2026-03-16 14:56:37;306;1;EN-GB;1;;;;;3;3;;;1;25
131;2026-03-16 14:55:01;2026-03-16 14:56:43;101;1;EN-GB;1;7;4;;;;;;;2;25
132;2026-03-16 14:53:44;2026-03-16 14:56:45;181;1;EN-GB;1;;;;;;;5;7;2;27
133;2026-03-16 14:53:25;2026-03-16 14:56:47;201;1;EN-GB;1;;;2;6;;;;;2;35
