ID,StartDate,EndDate,Duration (in seconds),Finished,UserLanguage,Consent,racism.12-pAction,12.2,racism.24-pAction,24.2,Gender,Age,Education
134,2026-03-17 13:19:10,2026-03-17 13:20:49,99,1,EN-GB,1,,2,,,2,35,6
135,2026-03-17 13:19:01,2026-03-17 13:20:51,110,1,EN-GB,1,,1,,,1,34,2
136,2026-03-17 13:19:07,2026-03-17 13:20:53,105,1,EN-GB,1,,,1,,1,24,2
137,2026-03-17 13:20:06,2026-03-17 13:21:06,59,1,EN-GB,1,,,7,,2,55,6
138,2026-03-17 13:19:44,2026-03-17 13:21:15,90,1,EN-GB,1,1,,,,2,46,5
139,2026-03-17 13:19:15,2026-03-17 13:21:20,125,1,EN-GB,1,,,1,,2,38,2
140,2026-03-17 13:19:12,2026-03-17 13:21:22,130,1,EN-GB,1,,,1,,1,36,5
141,2026-03-17 13:19:52,2026-03-17 13:22:01,128,1,EN-GB,1,,1,,,1,60,2
142,2026-03-17 13:20:53,2026-03-17 13:22:21,88,1,EN-GB,1,,1,,,1,35,4
143,2026-03-17 13:20:46,2026-03-17 13:22:22,96,1,EN-GB,1,,,1,,3,28,4
144,2026-03-17 13:20:59,2026-03-17 13:22:35,96,1,EN-GB,1,,,,1,2,40,4
145,2026-03-17 13:20:56,2026-03-17 13:22:39,103,1,EN-GB,1,,1,,,1,30,3
146,2026-03-17 13:20:51,2026-03-17 13:23:05,133,1,EN-GB,1,,,1,,1,57,4
147,2026-03-17 13:19:51,2026-03-17 13:23:17,206,1,EN-GB,1,,,,1,1,65,3
148,2026-03-17 13:19:21,2026-03-17 13:23:30,249,1,EN-GB,1,,,1,,1,36,4
149,2026-03-17 13:22:23,2026-03-17 13:23:47,83,1,EN-GB,1,4,,,,2,56,5
150,2026-03-17 13:22:55,2026-03-17 13:24:05,70,1,EN-GB,1,,,1,,1,38,4
151,2026-03-17 13:23:06,2026-03-17 13:24:17,70,1,EN-GB,1,2,,,,2,33,6
152,2026-03-17 13:23:21,2026-03-17 13:24:24,63,1,EN-GB,1,,,1,,2,39,4
153,2026-03-17 13:22:33,2026-03-17 13:24:33,120,1,EN-GB,1,,1,,,1,61,2
154,2026-03-17 13:22:52,2026-03-17 13:24:36,103,1,EN-GB,1,,,,1,2,44,4
155,2026-03-17 13:15:44,2026-03-17 13:24:43,539,1,EN-GB,1,,,1,,1,32,2
156,2026-03-17 13:23:16,2026-03-17 13:25:04,107,1,EN-GB,1,,,1,,2,42,4
157,2026-03-17 13:24:16,2026-03-17 13:25:23,66,1,EN-GB,1,,,,1,2,53,4
158,2026-03-17 13:22:49,2026-03-17 13:25:31,161,1,EN-GB,1,2,,,,2,85,5
159,2026-03-17 13:22:51,2026-03-17 13:25:34,162,1,EN-GB,1,,,1,,1,34,4
160,2026-03-17 13:24:02,2026-03-17 13:25:39,96,1,EN-GB,1,,,1,,1,26,2
161,2026-03-17 13:23:27,2026-03-17 13:25:53,145,1,EN-GB,1,,,11,,1,40,4
162,2026-03-17 13:24:13,2026-03-17 13:26:09,115,1,EN-GB,1,,,,1,2,36,4
163,2026-03-17 13:25:20,2026-03-17 13:26:36,76,1,EN-GB,1,,1,,,2,20,2
164,2026-03-17 13:25:14,2026-03-17 13:27:08,113,1,EN-GB,1,,,1,,1,39,5
165,2026-03-17 13:25:36,2026-03-17 13:27:10,94,1,EN-GB,1,,,1,,1,66,5
166,2026-03-17 13:25:19,2026-03-17 13:27:10,111,1,EN-GB,1,1,,,,2,35,4
167,2026-03-17 13:25:22,2026-03-17 13:27:26,124,1,EN-GB,1,,,1,,2,51,4
168,2026-03-17 13:22:27,2026-03-17 13:27:38,311,1,EN-GB,1,1,,,,2,69,5
169,2026-03-17 13:23:13,2026-03-17 13:27:51,277,1,EN-GB,1,,,,1,1,28,4
170,2026-03-17 13:23:29,2026-03-17 13:27:56,267,1,EN-GB,1,,,,1,1,68,2
171,2026-03-17 13:26:26,2026-03-17 13:28:00,94,1,EN-GB,1,,1,,,2,21,4
172,2026-03-17 13:25:52,2026-03-17 13:28:12,140,1,EN-GB,1,,,1,,2,21,2
173,2026-03-17 13:27:20,2026-03-17 13:28:31,70,1,EN-GB,1,,1,,,1,37,6
174,2026-03-17 13:27:03,2026-03-17 13:28:47,104,1,EN-GB,1,1,,,,2,24,2
175,2026-03-17 13:23:52,2026-03-17 13:28:48,296,1,EN-GB,1,,,1,,1,29,4
176,2026-03-17 13:25:36,2026-03-17 13:28:54,198,1,EN-GB,1,,,,1,1,35,3
177,2026-03-17 13:26:05,2026-03-17 13:29:12,186,1,EN-GB,1,1,,,,1,40,3
178,2026-03-17 13:27:55,2026-03-17 13:29:21,85,1,EN-GB,1,,1,,,2,58,4
179,2026-03-17 13:28:17,2026-03-17 13:29:23,66,1,EN-GB,1,1,,,,2,38,2
180,2026-03-17 13:27:37,2026-03-17 13:29:37,119,1,EN-GB,1,,,1,,1,26,4
181,2026-03-17 13:28:27,2026-03-17 13:29:46,78,1,EN-GB,1,,1,,,1,51,4
182,2026-03-17 13:27:56,2026-03-17 13:30:04,127,1,EN-GB,1,,1,,,1,35,4
183,2026-03-17 13:26:02,2026-03-17 13:30:08,245,1,EN-GB,1,,,1,,1,61,2
184,2026-03-17 13:28:18,2026-03-17 13:30:19,120,1,EN-GB,1,,1,,,2,38,5
185,2026-03-17 13:28:42,2026-03-17 13:30:56,133,1,EN-GB,1,,,,1,1,55,4
186,2026-03-17 13:28:25,2026-03-17 13:30:58,152,1,EN-GB,1,,,1,,2,28,4
187,2026-03-17 13:25:12,2026-03-17 13:31:31,379,1,EN-GB,1,,,1,,1,22,4
188,2026-03-17 13:30:00,2026-03-17 13:31:43,102,1,EN-GB,1,1,,,,2,43,4
189,2026-03-17 13:30:25,2026-03-17 13:31:47,81,1,EN-GB,1,,1,,,2,54,4
190,2026-03-17 13:28:24,2026-03-17 13:32:02,217,1,EN-GB,1,,,,1,2,27,4
191,2026-03-17 13:31:05,2026-03-17 13:32:06,60,1,EN-GB,1,,,,1,2,18,2
192,2026-03-17 13:30:31,2026-03-17 13:32:15,103,1,EN-GB,1,,,1,,1,28,4
193,2026-03-17 13:30:39,2026-03-17 13:32:45,125,1,EN-GB,1,,,,1,1,33,4
194,2026-03-17 13:26:29,2026-03-17 13:32:48,379,1,EN-GB,1,,1,,,1,21,3
195,2026-03-17 13:30:53,2026-03-17 13:33:14,141,1,EN-GB,1,,,,1,2,53,6
196,2026-03-17 13:32:28,2026-03-17 13:33:54,85,1,EN-GB,1,3,,,,1,34,5
197,2026-03-17 13:30:17,2026-03-17 13:33:59,221,1,EN-GB,1,1,,,,2,45,5
198,2026-03-17 13:31:10,2026-03-17 13:34:18,188,1,EN-GB,1,,,1,,1,46,2
199,2026-03-17 13:31:43,2026-03-17 13:34:18,155,1,EN-GB,1,,,,1,2,25,2
